"id","tmdb_id","media_type","title","rating","tmdb_backdrop","tmdb_poster","release_date","overview","createdAt","updatedAt"
310,11009,"movie","Saturday Night Fever",6.6,"https://image.tmdb.org/t/p/w780/gqTwlRkQ2FBCeeq6JxzCj4ctjHF.jpg","https://image.tmdb.org/t/p/w780/uC0GIPI54UiqrIQsnq6C0qXSIwp.jpg","1977-12-16","Tony Manero is a Brooklyn paint-store clerk who'd give anything to break out of his dead-end existence. In life, Tony is a peasant; on the disco dance floor, he's a king. As the soundtrack plays one Bee Gees hit after another, white-suited Tony struts his stuff amidst flashing lights and sweaty, undulating bodies. Tony's class aspirations are mirrored in his relationship with his dance partner, a secretary eager to move into the glamorous world of Manhattan.","2017-12-11 16:50:36.688-05","2017-12-11 16:50:36.688-05"
311,71,"movie","Billy Elliot",7.4,"https://image.tmdb.org/t/p/w780/vlnhKUvu335ZM8wSD27MaFHpNu2.jpg","https://image.tmdb.org/t/p/w780/6VaP1H3MOW5jdkWqS5Q1NapCOS6.jpg","2000-05-18","Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!","2017-12-11 16:50:38.174-05","2017-12-11 16:50:38.174-05"
312,1422,"movie","The Departed",8,"https://image.tmdb.org/t/p/w780/8Od5zV7Q7zNOX0y9tyNgpTmoiGA.jpg","https://image.tmdb.org/t/p/w780/tGLO9zw5ZtCeyyEWgbYGgsFxC6i.jpg","2006-10-05","To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.","2017-12-11 16:50:39.675-05","2017-12-11 16:50:39.675-05"
313,22074,"movie","Capitalism: A Love Story",7,"https://image.tmdb.org/t/p/w780/vI1RY1JYAS1m94izWO9AFeIQ2xv.jpg","https://image.tmdb.org/t/p/w780/zJBkIPakBXdu3cEgGqKCPHUNXVE.jpg","2009-09-06","Michael Moore's Capitalism: A Love Story comes home to the issue he's been examining throughout his career: the disastrous impact of corporate dominance on the everyday lives of Americans (and by default, the rest of the world).","2017-12-11 16:50:41.173-05","2017-12-11 16:50:41.173-05"
314,28874,"movie","Summer Wars",7.4,"https://image.tmdb.org/t/p/w780/7rT6AYzflkQtGZKwWL8AXouDj5G.jpg","https://image.tmdb.org/t/p/w780/hoVm9Rndcs7FbVqr6s22kEyUMJ8.jpg","2009-08-01","Kenji is your typical teenage misfit. He’s good at math, bad with girls, and spends most of his time out hanging out in the all-powerful online community known as OZ. His second life is the only life he has – until the girl of his dreams, Natsuki, hijacks him for a starring role as a fake fiancé at her family reunion. Things only get stranger from there. A late-night email containing a cryptic mathematic riddle leads to the unleashing of a rogue AI intent on using the virtual world of OZ to destroy the real world. As Armageddon looms on the horizon, Kenji and his new “family” set aside their differences and band together to save the worlds they inhabit in this ""near-perfect blend of social satire and science fiction.""","2017-12-11 16:50:47.178-05","2017-12-11 16:50:47.178-05"
315,9792,"movie","The Hills Have Eyes",6.1,"https://image.tmdb.org/t/p/w780/53vdUXxtUogIupD3oln7ywZ2d02.jpg","https://image.tmdb.org/t/p/w780/hNuqY8h1oBGTnEQK75AH4IwuiPG.jpg","2006-03-10","Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.","2017-12-11 16:50:48.68-05","2017-12-11 16:50:48.68-05"
316,127517,"movie","Disconnect",6.9,"https://image.tmdb.org/t/p/w780/asTq74kXjslx8A13qDTVdzvyJ8.jpg","https://image.tmdb.org/t/p/w780/kTLcEBTPzptlBP8auLRlK8KTKvV.jpg","2012-09-11","Disconnect interweaves multiple storylines about people searching for human connection in today’s wired world. Through poignant turns that are both harrowing and touching, the stories intersect with surprising twists that expose a shocking reality into our daily use of technology that mediates and defines our relationships and ultimately our lives.","2017-12-11 16:50:50.174-05","2017-12-11 16:50:50.174-05"
317,1642,"movie","The Net",5.7,"https://image.tmdb.org/t/p/w780/uBqa8nPu3HUtfSHtWqo7VhYG0Uc.jpg","https://image.tmdb.org/t/p/w780/gKDNaAFzT21cSVeKQop7d1uhoSp.jpg","1995-07-28","Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...","2017-12-11 16:50:51.688-05","2017-12-11 16:50:51.688-05"
318,162903,"movie","The Fifth Estate",5.7,"https://image.tmdb.org/t/p/w780/1V0SLzEHNDJvkKSUgtGBEnXF4qK.jpg","https://image.tmdb.org/t/p/w780/uIMI7d9DXe8uc5KzXnMFdmmEnNC.jpg","2013-10-11","A look at the relationship between WikiLeaks founder Julian Assange and his early supporter and eventual colleague Daniel Domscheit-Berg, and how the website's growth and influence led to an irreparable rift between the two friends.","2017-12-11 16:50:53.185-05","2017-12-11 16:50:53.185-05"
319,86834,"movie","Noah",5.5,"https://image.tmdb.org/t/p/w780/jnoJgpITphPoqA3e7JnNC4mtAVX.jpg","https://image.tmdb.org/t/p/w780/5wioUjzwr91fvq7ydunxK2CPSxi.jpg","2014-03-20","A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.","2017-12-11 16:50:54.68-05","2017-12-11 16:50:54.68-05"
